,[Measurement,Info,Unnamed: 2,average_1,average_2,average_3,average_4,average_5,average_6,average_7,average_8,average_9,average_10
247,19:14:32,40.008138,116.47781,-72.69999999999999,-94.21799999999998,-95.186,-88.51700000000004,-86.89599999999999,-117.78199999999998,-119.189,-118.31000000000002,-117.58500000000002,-116.36499999999998
248,19:14:32,40.008137,116.47781,-72.12755102040818,-89.15800000000002,-87.211,-88.45400000000001,-88.81499999999998,-118.41800000000006,-120.036,-120.14000000000009,-118.85699999999997,-119.39127551020411
250,19:14:32,40.008137,116.477809,-73.21428571428571,-88.428,-86.43900000000005,-87.56399999999998,-82.617,-116.95199999999997,-118.91,-118.46100000000004,-117.92099999999996,-118.60814285714288
251,19:14:33,40.008136,116.477809,-73.72857142857144,-93.25699999999999,-87.072,-85.23800000000001,-85.847,-117.20900000000002,-119.61799999999995,-118.05899999999998,-115.26100000000001,-116.0652857142857
252,19:14:33,40.008136,116.477808,-74.95,-87.866,-87.15099999999995,-84.47600000000003,-88.03099999999999,-117.618,-119.459,-118.69100000000002,-118.62000000000002,-117.42850000000003
253,19:14:33,40.008135,116.477808,-80.79387755102042,-81.463,-91.78200000000001,-85.819,-86.965,-115.69799999999998,-118.89099999999996,-118.90699999999998,-117.596,-116.53893877551025
254,19:14:33,40.008134,116.477808,-79.71428571428568,-79.88399999999999,-88.86000000000001,-90.72900000000001,-82.73700000000001,-115.012,-118.14999999999996,-117.43499999999996,-114.87499999999996,-113.46014285714284
255,19:14:34,40.008134,116.477807,-84.26224489795919,-85.088,-84.55700000000003,-92.444,-82.788,-117.84899999999992,-119.43199999999997,-119.16200000000002,-117.08499999999998,-115.8326224489796
256,19:14:34,40.008133,116.477807,-78.79489795918369,-89.225,-87.35300000000001,-92.54899999999999,-84.21800000000005,-116.38499999999996,-118.41299999999997,-119.21199999999999,-118.44000000000001,-118.84194897959183
258,19:14:34,40.008133,116.477806,-76.08367346938772,-89.90700000000001,-86.60599999999998,-84.27699999999999,-91.929,-116.90500000000002,-119.09299999999999,-119.49400000000003,-115.87199999999997,-114.77383673469384
259,19:14:35,40.008132,116.477806,-77.83571428571429,-86.79100000000003,-89.27100000000002,-85.0,-93.16699999999997,-117.71800000000005,-118.79499999999994,-119.594,-115.79399999999998,-114.06835714285715
260,19:14:35,40.008132,116.477806,-77.33979591836736,-85.19500000000002,-92.051,-87.74399999999997,-89.45600000000002,-116.417,-117.51699999999997,-118.71699999999991,-116.87399999999994,-116.38439795918367
262,19:14:35,40.008131,116.477806,-76.19693877551019,-87.308,-89.35,-92.71199999999999,-85.71199999999999,-116.72499999999997,-118.836,-118.90700000000004,-117.75500000000004,-115.69396938775506
263,19:14:36,40.008131,116.477806,-78.1112244897959,-89.347,-89.413,-91.34700000000004,-83.259,-116.20199999999996,-118.04800000000002,-118.458,-117.95400000000001,-116.12111224489797
264,19:14:36,40.008131,116.477807,-68.27653061224488,-85.66299999999995,-85.714,-85.26599999999995,-89.36800000000001,-115.64699999999999,-118.31700000000001,-119.00500000000002,-117.24399999999997,-115.88076530612244
265,19:14:36,40.008131,116.477807,-66.37142857142857,-83.248,-89.54900000000002,-86.014,-91.51299999999996,-117.26099999999998,-118.71699999999998,-118.76100000000001,-116.68299999999998,-114.24171428571435
266,19:14:36,40.008131,116.477808,-65.17244897959182,-82.79899999999998,-91.95399999999998,-87.281,-90.387,-116.43099999999998,-117.83499999999998,-118.62100000000001,-117.22300000000003,-114.9387244897959
267,19:14:37,40.008131,116.477808,-65.25612244897958,-80.68099999999998,-86.822,-93.389,-87.56200000000003,-117.67699999999999,-118.70499999999993,-118.89200000000007,-116.40100000000001,-117.12456122448981
268,19:14:37,40.008131,116.477808,-66.19693877551023,-81.57700000000001,-83.62300000000003,-96.12999999999998,-84.79599999999999,-118.14199999999997,-119.50499999999998,-118.03399999999999,-116.67199999999997,-116.1919693877551
270,19:14:37,40.00813,116.477808,-64.05612244897961,-82.09100000000001,-83.4,-90.34399999999998,-88.09999999999997,-116.34000000000003,-118.44499999999998,-118.29999999999998,-115.21500000000007,-113.50256122448978
271,19:14:38,40.00813,116.477808,-63.49795918367348,-82.03700000000002,-82.41900000000001,-84.22099999999996,-95.03299999999996,-116.91999999999999,-118.46900000000005,-119.55400000000009,-117.90199999999996,-115.51997959183673
272,19:14:38,40.00813,116.477807,-64.65816326530614,-82.83800000000001,-83.89000000000004,-82.88999999999999,-98.71900000000004,-118.18000000000005,-117.65899999999999,-117.85799999999996,-115.20100000000001,-113.50358163265308
273,19:14:38,40.008129,116.477807,-64.28673469387753,-80.079,-83.022,-84.206,-88.64,-117.691,-117.41900000000004,-119.04,-111.52800000000005,-114.59686734693878
274,19:14:39,40.008129,116.477806,-63.284693877551035,-82.06,-85.06800000000001,-87.93199999999997,-89.565,-114.11799999999995,-116.93499999999995,-118.94600000000008,-116.19299999999996,-115.59984693877549
275,19:14:39,40.008129,116.477806,-61.75510204081632,-80.79099999999998,-81.82800000000002,-86.07599999999998,-87.89800000000001,-114.90699999999998,-116.24100000000004,-118.07,-115.72200000000002,-111.15055102040809
277,19:14:39,40.008128,116.477805,-64.10510204081632,-79.96900000000002,-85.557,-85.19400000000002,-88.04799999999997,-117.66999999999999,-118.77799999999996,-119.512,-116.02499999999998,-116.62105102040816
278,19:14:40,40.008128,116.477805,-66.27244897959187,-80.20600000000005,-84.61100000000002,-84.558,-84.80800000000004,-117.34599999999996,-117.244,-118.899,-116.56699999999996,-117.37772448979585
279,19:14:40,40.008128,116.477805,-68.32346938775508,-82.80300000000005,-84.77099999999999,-85.654,-85.23999999999998,-115.74499999999996,-118.105,-119.52100000000004,-116.58099999999999,-117.07823469387755
281,19:14:40,40.008127,116.477804,-68.91020408163264,-83.43900000000002,-83.713,-85.814,-85.88099999999999,-117.47000000000004,-119.15899999999999,-119.42199999999998,-117.955,-118.26610204081636
282,19:14:41,40.008127,116.477804,-66.484693877551,-83.99000000000002,-83.795,-85.806,-88.38,-116.666,-118.41099999999999,-118.16299999999997,-116.82500000000003,-117.48084693877554
283,19:14:41,40.008126,116.477804,-63.22346938775509,-78.472,-81.882,-84.83099999999999,-86.09899999999999,-118.42500000000001,-119.027,-119.41699999999999,-118.1720000000001,-118.55423469387755
284,19:14:41,40.008126,116.477804,-71.16020408163263,-85.78299999999997,-86.48600000000002,-86.26199999999999,-87.637,-116.41299999999997,-119.543,-119.412,-118.09400000000005,-119.64860204081637
285,19:14:42,40.008126,116.477804,-70.92551020408169,-83.53699999999999,-84.484,-88.02199999999995,-85.815,-118.161,-119.76199999999999,-118.735,-118.31599999999997,-119.45425510204088
